dz_2021_code,type,hours_15_or_less_worked_per_week,hours_16_30_worked_per_week,hours_31_48_worked_per_week,hours_49_worked_per_week,not_applicable
N20000833,NI data zone,24,50,149,20,278
N20000834,NI data zone,7,26,57,8,243
N20000835,NI data zone,22,75,190,19,413
N20000836,NI data zone,15,30,86,9,356
N20000837,NI data zone,18,55,180,15,306
N20000838,NI data zone,16,45,153,14,236
N20000839,NI data zone,10,39,100,8,202
N20000840,NI data zone,14,43,96,9,220
N20000841,NI data zone,36,93,234,16,513
N20000842,NI data zone,11,30,114,9,156
N20000843,NI data zone,15,27,92,16,194
N20000845,NI data zone,18,36,86,8,196
N20000846,NI data zone,16,34,87,12,263
N20000848,NI data zone,17,53,72,7,328
N20000849,NI data zone,27,52,141,20,335
N20001236,NI data zone,28,101,224,13,338
N20001239,NI data zone,20,71,62,10,507
N20001240,NI data zone,21,51,107,7,345
N20001241,NI data zone,22,89,145,7,352
N20001242,NI data zone,22,82,135,5,486
N20001243,NI data zone,29,82,103,12,493
N20001246,NI data zone,32,67,174,18,431
N20001248,NI data zone,9,45,46,4,361
N20001250,NI data zone,20,49,130,9,199
N20001252,NI data zone,23,41,108,2,372
N20001267,NI data zone,25,70,174,21,285
N20001273,NI data zone,15,43,137,10,185
N20001279,NI data zone,27,65,226,21,269
N20001297,NI data zone,13,54,70,3,341
N20001298,NI data zone,13,80,99,5,452
N20001299,NI data zone,13,47,57,3,374
N20001300,NI data zone,17,60,61,4,491
N20001301,NI data zone,18,63,102,6,547
N20001302,NI data zone,18,64,90,3,324
N20001303,NI data zone,16,47,134,9,280
N20001305,NI data zone,16,54,71,4,396
N20001306,NI data zone,13,38,37,5,198
N20001308,NI data zone,43,109,217,20,458
N20001309,NI data zone,40,103,254,31,469
N20001310,NI data zone,20,58,97,9,430
N20001313,NI data zone,26,44,85,5,375
N20001314,NI data zone,23,78,109,5,437
N20001317,NI data zone,11,67,88,2,348
N20001320,NI data zone,12,48,57,2,349
N20001323,NI data zone,13,42,62,3,228
N20001325,NI data zone,26,72,111,4,545
N20001326,NI data zone,23,70,123,6,447
N20001327,NI data zone,16,52,113,10,242
N20001328,NI data zone,12,61,72,5,459
N20001329,NI data zone,9,37,70,5,181
N20001331,NI data zone,19,57,139,9,278
N20001332,NI data zone,15,43,48,4,377
N20001335,NI data zone,14,26,121,4,152
N20001338,NI data zone,9,34,46,4,279
N20001339,NI data zone,30,76,195,20,362
N20001341,NI data zone,12,37,100,13,159
N20001343,NI data zone,12,46,112,8,254
N20001344,NI data zone,12,45,57,12,198
N20001346,NI data zone,17,48,98,18,331
N20001348,NI data zone,16,43,71,10,321
N20001349,NI data zone,17,50,104,7,231
N20001351,NI data zone,25,81,141,19,366
N20001353,NI data zone,7,36,69,4,173
N20001356,NI data zone,20,74,142,10,421
N20001358,NI data zone,24,61,123,12,365
N20001359,NI data zone,16,62,97,13,368
N20001360,NI data zone,12,58,130,6,221
N20001362,NI data zone,13,58,133,10,284
N20001363,NI data zone,23,59,144,13,386
N20001365,NI data zone,15,54,98,5,313
N20001369,NI data zone,9,50,77,5,334
N20001370,NI data zone,16,58,100,5,345
N20001371,NI data zone,19,45,132,18,248
N20001372,NI data zone,14,37,59,7,219
N20001373,NI data zone,30,67,141,8,342
N20001374,NI data zone,28,61,136,11,241
N20001375,NI data zone,20,56,144,4,357
N20001376,NI data zone,5,15,17,1,171
N20001377,NI data zone,7,25,39,7,308
N20001378,NI data zone,18,48,127,9,355
N20001379,NI data zone,18,46,152,10,264
N20001380,NI data zone,23,64,222,21,317
N20001381,NI data zone,32,86,121,12,492
N20001382,NI data zone,19,41,106,11,248
N20001383,NI data zone,23,54,85,9,415
N20001384,NI data zone,21,51,134,8,380
N20001385,NI data zone,13,23,66,12,252
N20001386,NI data zone,18,39,128,9,200
N20001387,NI data zone,16,34,50,11,309
N20001388,NI data zone,22,66,177,15,222
N20001390,NI data zone,20,75,143,15,350
N20001391,NI data zone,17,42,140,10,237
N20001392,NI data zone,15,39,130,20,204
N20001393,NI data zone,5,18,36,0,151
N20001394,NI data zone,13,38,74,10,209
N20001395,NI data zone,6,35,45,10,198
N20001397,NI data zone,13,25,82,5,331
N20001399,NI data zone,11,57,73,10,409
N20001400,NI data zone,10,23,40,6,177
N20001401,NI data zone,35,66,176,20,390
N20001402,NI data zone,17,69,217,15,247
N20001403,NI data zone,11,37,52,2,178
N20001404,NI data zone,19,27,97,11,253
N20001405,NI data zone,17,62,91,7,346
N20001407,NI data zone,11,24,50,5,258
N20001408,NI data zone,7,36,52,12,226
N20001411,NI data zone,17,49,100,6,274
N20001413,NI data zone,22,65,106,15,361
N20001416,NI data zone,18,45,78,13,348
N20001417,NI data zone,11,44,76,4,253
N20001419,NI data zone,14,51,87,3,271
N20001420,NI data zone,7,41,61,3,224
N20001422,NI data zone,15,42,94,11,192
N20001424,NI data zone,20,89,117,8,401
N20001427,NI data zone,20,75,133,8,390
N20001428,NI data zone,16,47,111,14,386
N20001436,NI data zone,12,43,98,3,221
N20001514,NI data zone,38,56,177,22,425
N20001516,NI data zone,28,77,173,24,333
N20001518,NI data zone,39,82,229,37,471
N20001519,NI data zone,7,34,53,5,204
N20001521,NI data zone,29,46,132,30,304
N20001524,NI data zone,19,51,149,17,280
N20001526,NI data zone,21,54,141,27,228
N20001528,NI data zone,38,68,152,45,361
N20001530,NI data zone,48,58,188,54,400
N20001539,NI data zone,26,63,236,63,346
N20001540,NI data zone,10,48,142,17,320
N20001541,NI data zone,17,31,104,28,267
N20001543,NI data zone,39,62,172,21,415
N20001547,NI data zone,38,66,143,16,511
N20001548,NI data zone,102,58,119,9,436
N20001549,NI data zone,25,59,118,15,244
N20001550,NI data zone,11,36,49,7,370
N20001551,NI data zone,13,41,61,9,211
N20001552,NI data zone,23,65,134,10,215
N20001553,NI data zone,35,56,90,8,572
N20001554,NI data zone,20,45,80,3,335
N20001555,NI data zone,23,57,123,9,285
N20001556,NI data zone,14,41,108,19,115
N20001557,NI data zone,37,76,182,24,298
N20001558,NI data zone,30,39,137,15,320
N20001559,NI data zone,13,46,69,3,299
N20001560,NI data zone,29,44,122,18,295
N20001561,NI data zone,15,35,115,19,293
N20001562,NI data zone,15,28,96,11,208
N20001563,NI data zone,17,48,76,7,371
N20001564,NI data zone,22,43,70,10,266
N20001565,NI data zone,24,38,118,8,251
N20001566,NI data zone,13,31,49,1,217
N20001567,NI data zone,21,21,102,8,312
N20001568,NI data zone,22,60,106,7,264
N20001569,NI data zone,15,36,134,11,178
N20001570,NI data zone,20,40,112,21,274
N20001571,NI data zone,5,9,26,1,144
N20001572,NI data zone,17,40,111,11,373
N20001573,NI data zone,33,64,127,14,277
N20001574,NI data zone,21,71,84,11,420
N20001575,NI data zone,15,45,89,7,282
N20001576,NI data zone,22,39,97,10,236
N20001577,NI data zone,17,21,59,6,172
N20001578,NI data zone,12,23,34,7,223
N20001579,NI data zone,5,25,61,6,165
N20001580,NI data zone,19,69,156,14,285
N20001581,NI data zone,20,43,96,10,288
N20001582,NI data zone,12,40,90,10,318
N20001583,NI data zone,22,65,127,17,221
N20001584,NI data zone,21,29,94,16,208
N20001585,NI data zone,32,54,171,15,256
N20001586,NI data zone,24,60,112,15,224
N20001587,NI data zone,40,90,210,26,343
N20001588,NI data zone,16,41,102,11,207
N20001589,NI data zone,28,59,184,26,332
N20001590,NI data zone,21,47,110,15,280
N20001591,NI data zone,16,61,170,18,331
N20001592,NI data zone,18,45,147,24,188
N20001593,NI data zone,28,53,183,15,267
N20001594,NI data zone,19,53,106,19,330
N20001595,NI data zone,20,36,56,2,212
N20001596,NI data zone,44,63,150,38,314
N20001597,NI data zone,36,75,154,73,377
N20001598,NI data zone,13,25,54,9,223
N20001599,NI data zone,26,38,102,13,195
N20001600,NI data zone,12,28,24,5,234
N20001601,NI data zone,16,47,63,12,218
N20001602,NI data zone,24,22,67,22,215
N20001603,NI data zone,20,33,72,23,226
N20001604,NI data zone,30,30,120,21,341
N20001605,NI data zone,11,35,80,7,206
N20001606,NI data zone,9,16,64,9,151
N20001607,NI data zone,23,33,86,17,289
N20001608,NI data zone,15,34,71,8,190
N20001609,NI data zone,22,33,96,18,169
N20001610,NI data zone,28,46,121,22,320
N20001611,NI data zone,30,50,101,14,333
N20001612,NI data zone,28,37,59,1,357
N20001613,NI data zone,30,49,169,19,298
N20001614,NI data zone,23,49,103,10,299
N20001615,NI data zone,27,74,184,24,357
N20001616,NI data zone,30,44,110,26,350
