dz_2021_code,type,deprived_in_0_dimensions,deprived_in_1_dimension,deprived_in_2_dimensions,deprived_in_3_dimensions,deprived_in_4_dimensions
N20000839,NI data zone,57,53,44,9,1
N20000840,NI data zone,56,49,36,18,5
N20000841,NI data zone,130,105,67,23,0
N20000842,NI data zone,52,50,44,21,1
N20000843,NI data zone,42,62,46,43,5
N20000845,NI data zone,53,42,36,13,0
N20000846,NI data zone,44,61,38,25,1
N20000848,NI data zone,43,54,66,27,0
N20000849,NI data zone,61,83,67,27,7
N20001236,NI data zone,110,98,43,17,0
N20001239,NI data zone,47,62,71,36,4
N20001240,NI data zone,54,62,60,45,6
N20001241,NI data zone,43,78,72,32,4
N20001242,NI data zone,49,93,92,59,20
N20001243,NI data zone,59,79,72,56,7
N20001246,NI data zone,101,117,61,11,0
N20001248,NI data zone,25,60,67,43,4
N20001250,NI data zone,62,44,33,9,0
N20001252,NI data zone,37,57,74,31,2
N20001267,NI data zone,102,55,16,5,0
N20001273,NI data zone,74,40,12,6,0
N20001279,NI data zone,112,66,15,3,0
N20001297,NI data zone,42,44,47,22,0
N20001298,NI data zone,49,63,77,44,2
N20001299,NI data zone,23,50,65,45,12
N20001300,NI data zone,36,71,82,62,8
N20001301,NI data zone,37,76,89,73,4
N20001302,NI data zone,31,61,61,51,4
N20001303,NI data zone,60,67,62,15,3
N20001305,NI data zone,35,47,73,56,3
N20001306,NI data zone,16,29,36,27,0
N20001308,NI data zone,80,112,75,35,4
N20001309,NI data zone,114,93,64,14,0
N20001310,NI data zone,41,55,67,53,3
N20001313,NI data zone,37,53,62,51,9
N20001314,NI data zone,28,91,87,59,3
N20001317,NI data zone,34,60,63,53,8
N20001320,NI data zone,21,38,76,59,6
N20001323,NI data zone,25,41,59,29,7
N20001325,NI data zone,45,75,86,78,13
N20001326,NI data zone,70,69,81,40,1
N20001327,NI data zone,62,50,36,10,0
N20001328,NI data zone,44,57,80,73,12
N20001329,NI data zone,35,49,42,12,1
N20001331,NI data zone,74,72,47,8,0
N20001332,NI data zone,29,49,64,21,0
N20001335,NI data zone,57,39,27,11,2
N20001338,NI data zone,34,51,44,27,0
N20001339,NI data zone,93,97,50,26,5
N20001341,NI data zone,45,42,24,10,3
N20001343,NI data zone,56,53,49,22,6
N20001344,NI data zone,33,47,46,24,4
N20001346,NI data zone,52,63,66,36,0
N20001348,NI data zone,37,57,61,26,2
N20001349,NI data zone,54,62,40,15,3
N20001351,NI data zone,66,68,60,21,0
N20001353,NI data zone,31,36,30,22,2
N20001356,NI data zone,65,71,84,37,8
N20001358,NI data zone,59,74,56,35,9
N20001359,NI data zone,50,73,72,33,0
N20001360,NI data zone,55,46,39,15,0
N20001362,NI data zone,53,63,55,21,2
N20001363,NI data zone,64,92,88,39,1
N20001365,NI data zone,56,69,68,35,16
N20001369,NI data zone,34,54,76,43,2
N20001370,NI data zone,41,68,80,42,6
N20001371,NI data zone,63,80,35,8,0
N20001372,NI data zone,34,41,55,25,6
N20001373,NI data zone,70,77,64,21,3
N20001374,NI data zone,74,61,43,12,0
N20001375,NI data zone,75,87,76,32,1
N20001376,NI data zone,11,23,40,25,8
N20001377,NI data zone,22,38,52,62,18
N20001378,NI data zone,48,72,47,32,9
N20001379,NI data zone,81,82,63,26,1
N20001380,NI data zone,127,85,53,4,0
N20001381,NI data zone,72,91,116,70,7
N20001382,NI data zone,39,63,61,34,2
N20001383,NI data zone,54,62,63,56,3
N20001384,NI data zone,63,92,88,49,4
N20001385,NI data zone,42,62,58,45,2
N20001386,NI data zone,61,54,30,7,0
N20001387,NI data zone,27,52,68,52,2
N20001388,NI data zone,75,44,34,6,0
N20001390,NI data zone,62,80,66,25,1
N20001391,NI data zone,75,64,35,6,1
N20001392,NI data zone,67,51,36,12,0
N20001393,NI data zone,16,31,39,30,10
N20001394,NI data zone,44,59,46,25,6
N20001395,NI data zone,28,44,47,37,5
N20001397,NI data zone,47,63,69,36,2
N20001399,NI data zone,46,73,116,57,3
N20001400,NI data zone,33,52,27,25,1
N20001401,NI data zone,106,136,78,34,4
N20001402,NI data zone,121,74,39,9,2
N20001403,NI data zone,20,53,44,20,5
N20001404,NI data zone,63,79,49,27,0
N20001405,NI data zone,38,85,74,32,4
N20001407,NI data zone,35,46,54,29,2
N20001408,NI data zone,44,33,45,33,4
N20001411,NI data zone,46,45,59,30,1
N20001413,NI data zone,56,89,72,35,0
N20001416,NI data zone,27,66,73,44,9
N20001417,NI data zone,37,46,55,25,7
N20001419,NI data zone,35,57,59,23,0
N20001420,NI data zone,33,37,44,19,6
N20001422,NI data zone,66,52,32,8,0
N20001424,NI data zone,60,89,79,46,4
N20001427,NI data zone,61,71,74,61,10
N20001428,NI data zone,53,82,84,52,8
N20001436,NI data zone,27,43,50,29,1
N20001514,NI data zone,157,132,50,8,2
N20001516,NI data zone,112,88,45,11,2
N20001518,NI data zone,177,120,36,1,0
N20001519,NI data zone,36,39,40,15,2
N20001521,NI data zone,87,81,40,9,1
N20001524,NI data zone,117,55,35,8,1
N20001526,NI data zone,81,64,39,3,0
N20001528,NI data zone,106,76,48,17,0
N20001530,NI data zone,129,99,42,7,1
N20001539,NI data zone,116,93,41,7,1
N20001540,NI data zone,97,52,31,22,4
N20001541,NI data zone,58,55,52,14,1
N20001543,NI data zone,102,101,82,22,2
N20001547,NI data zone,78,114,94,39,5
N20001548,NI data zone,87,66,31,6,1
N20001549,NI data zone,79,71,43,12,0
N20001550,NI data zone,33,76,60,33,0
N20001551,NI data zone,37,57,35,14,2
N20001552,NI data zone,75,54,47,3,0
N20001553,NI data zone,79,77,90,51,4
N20001554,NI data zone,45,61,76,45,9
N20001555,NI data zone,107,81,39,7,0
N20001556,NI data zone,87,31,8,3,0
N20001557,NI data zone,113,77,25,4,0
N20001558,NI data zone,116,71,32,1,0
N20001559,NI data zone,27,47,62,32,6
N20001560,NI data zone,107,79,23,1,0
N20001561,NI data zone,59,62,62,36,1
N20001562,NI data zone,61,56,44,18,1
N20001563,NI data zone,34,62,72,38,12
N20001564,NI data zone,44,67,46,28,0
N20001565,NI data zone,68,86,49,19,1
N20001566,NI data zone,20,36,71,31,4
N20001567,NI data zone,57,95,114,42,2
N20001568,NI data zone,78,84,56,16,2
N20001569,NI data zone,106,28,6,1,0
N20001570,NI data zone,82,91,54,37,4
N20001571,NI data zone,8,31,59,42,7
