dz_2021_code,type,catholic,presbyterian_church_in_ireland,church_of_ireland,methodist_church_in_ireland,other_christian_including_christian_related,other_religions,no_religion,religion_not_stated
N20000750,NI data zone,400,4,3,1,12,11,84,15
N20000751,NI data zone,363,7,3,4,6,6,35,3
N20000752,NI data zone,351,3,1,0,5,8,17,10
N20000753,NI data zone,437,7,4,1,2,8,22,9
N20000754,NI data zone,139,9,2,2,9,12,42,6
N20000755,NI data zone,439,5,7,2,7,0,22,20
N20000756,NI data zone,382,12,8,1,8,7,31,13
N20000757,NI data zone,290,2,7,0,10,41,81,8
N20000758,NI data zone,499,7,2,2,7,3,29,14
N20000759,NI data zone,232,6,8,4,18,32,76,53
N20000760,NI data zone,341,9,6,0,2,3,43,10
N20000761,NI data zone,460,4,6,0,1,0,44,17
N20000762,NI data zone,330,4,0,0,7,4,23,8
N20000763,NI data zone,218,73,16,2,9,2,48,5
N20000764,NI data zone,212,8,13,4,10,14,49,84
N20000765,NI data zone,310,11,2,0,6,2,31,7
N20000767,NI data zone,429,37,30,11,13,4,28,11
N20000768,NI data zone,428,9,2,2,2,1,22,15
N20000770,NI data zone,422,32,29,9,23,11,43,10
N20000775,NI data zone,308,16,15,4,21,2,69,6
N20000776,NI data zone,36,176,96,24,49,29,110,13
N20000787,NI data zone,412,11,9,5,6,7,67,1
N20000788,NI data zone,574,18,12,5,12,5,95,14
N20000789,NI data zone,279,22,23,2,18,3,98,5
N20000790,NI data zone,44,149,52,30,37,8,133,18
N20000791,NI data zone,265,45,24,14,13,11,124,8
N20000792,NI data zone,338,12,7,0,9,2,62,8
N20000793,NI data zone,364,19,13,3,13,9,89,15
N20000794,NI data zone,455,9,7,0,10,13,68,8
N20000795,NI data zone,132,117,56,66,44,31,181,23
N20000796,NI data zone,510,57,18,5,9,2,107,6
N20000797,NI data zone,287,71,31,18,20,8,86,10
N20000798,NI data zone,24,151,80,59,59,8,110,9
N20000799,NI data zone,437,24,22,5,6,3,54,9
N20000800,NI data zone,72,170,93,62,32,5,144,18
N20000801,NI data zone,34,150,43,61,38,6,160,8
N20000802,NI data zone,417,15,14,0,8,0,65,6
N20000803,NI data zone,397,22,19,7,7,1,91,0
N20000804,NI data zone,196,44,25,14,10,1,45,9
N20000805,NI data zone,92,167,77,37,60,2,130,6
N20000806,NI data zone,31,170,88,45,42,11,85,4
N20000807,NI data zone,416,36,24,11,7,5,101,2
N20000808,NI data zone,401,24,14,3,4,5,68,3
N20000809,NI data zone,201,105,62,11,31,4,135,10
N20000810,NI data zone,299,25,5,0,4,2,87,5
N20000811,NI data zone,32,194,108,41,93,15,145,16
N20000812,NI data zone,262,6,4,0,2,10,34,1
N20000813,NI data zone,5,89,44,19,25,1,55,8
N20000814,NI data zone,219,18,14,3,9,5,68,2
N20000815,NI data zone,289,13,6,0,3,6,50,5
N20000816,NI data zone,398,58,33,10,17,5,84,6
N20000817,NI data zone,396,80,55,16,43,8,140,11
N20000818,NI data zone,313,10,6,3,7,10,88,7
N20000819,NI data zone,138,44,24,21,22,3,96,7
N20000820,NI data zone,14,133,83,37,47,7,113,5
N20000821,NI data zone,67,48,30,6,36,10,116,4
N20000822,NI data zone,183,4,3,0,1,8,41,4
N20000823,NI data zone,168,105,49,37,49,2,86,5
N20000824,NI data zone,402,21,16,4,25,26,118,24
N20000826,NI data zone,118,52,36,13,15,3,65,5
N20000827,NI data zone,328,20,22,6,8,5,127,0
N20000828,NI data zone,49,71,63,20,34,3,94,5
N20000829,NI data zone,30,83,22,12,49,14,112,5
N20000830,NI data zone,207,27,21,3,19,11,82,6
N20000831,NI data zone,407,9,5,0,11,10,76,6
N20000832,NI data zone,123,57,24,7,13,7,70,8
N20000833,NI data zone,328,9,13,1,21,14,116,19
N20000834,NI data zone,34,82,76,18,34,9,84,8
N20000835,NI data zone,59,233,74,60,82,16,188,10
N20000836,NI data zone,310,12,6,2,18,32,106,13
N20000837,NI data zone,29,191,98,46,67,16,117,10
N20000838,NI data zone,288,5,10,1,13,23,119,4
N20000839,NI data zone,236,14,9,2,12,1,70,16
