dz_2021_code,type,one_person_household_aged_66_and_over,one_person_household_other,single_family_household_couple_family_household_no_children,single_family_household_couple_family_household_dependent_children,single_family_household_couple_family_household_all_children_non_dependent,single_family_household_lone_parent_family_with_dependent_children,single_family_household_lone_parent_family_all_children_non_dependent,single_family_household_other_family_composition_including_all_aged_66_and_over,other_household_types
N20000828,NI data zone,21,45,28,17,11,15,10,19,5
N20000829,NI data zone,20,70,20,17,7,13,9,11,13
N20000830,NI data zone,17,42,19,22,17,10,19,7,11
N20000831,NI data zone,31,56,25,29,15,24,10,26,15
N20000832,NI data zone,47,42,5,8,3,22,5,10,9
N20000833,NI data zone,9,100,28,24,11,26,18,9,14
N20000834,NI data zone,27,41,11,11,4,40,10,5,8
N20000835,NI data zone,41,117,46,32,13,49,19,21,19
N20000836,NI data zone,62,126,19,13,9,25,17,11,8
N20000837,NI data zone,36,74,33,32,29,19,13,33,8
N20000838,NI data zone,8,50,34,28,11,15,16,8,21
N20000839,NI data zone,33,28,19,18,18,9,16,13,7
N20000840,NI data zone,9,50,17,16,16,26,13,6,9
N20000841,NI data zone,27,46,27,62,29,74,22,16,21
N20000842,NI data zone,12,67,24,15,3,20,13,3,11
N20000843,NI data zone,39,78,27,14,5,11,7,8,11
N20000845,NI data zone,8,33,20,23,11,23,6,7,11
N20000846,NI data zone,16,42,13,21,8,27,16,9,18
N20000848,NI data zone,17,50,7,17,8,66,13,7,7
N20000849,NI data zone,24,80,24,21,13,31,18,10,24
N20001236,NI data zone,19,52,26,49,44,30,19,20,11
N20001239,NI data zone,9,21,11,18,18,114,13,5,13
N20001240,NI data zone,17,58,15,23,12,48,29,13,12
N20001241,NI data zone,15,40,18,36,29,48,25,7,11
N20001242,NI data zone,24,88,12,18,11,72,52,13,21
N20001243,NI data zone,22,51,18,29,19,73,32,11,18
N20001246,NI data zone,46,25,33,48,42,13,20,54,11
N20001248,NI data zone,31,51,4,10,4,71,11,4,14
N20001250,NI data zone,7,18,20,25,28,20,9,8,11
N20001252,NI data zone,13,27,14,21,19,50,35,13,10
N20001267,NI data zone,1,31,12,72,19,27,9,0,5
N20001273,NI data zone,2,25,17,55,3,20,2,4,4
N20001279,NI data zone,1,27,28,80,13,28,7,4,8
N20001297,NI data zone,15,27,8,19,18,38,19,3,11
N20001298,NI data zone,22,31,9,23,14,55,41,15,22
N20001299,NI data zone,11,42,6,14,6,62,30,11,13
N20001300,NI data zone,16,61,10,15,15,84,36,4,15
N20001301,NI data zone,25,40,12,22,14,66,48,24,28
N20001302,NI data zone,25,51,6,7,18,30,35,11,25
N20001303,NI data zone,20,41,20,18,12,34,28,19,15
N20001305,NI data zone,21,49,4,11,10,61,23,9,23
N20001306,NI data zone,6,20,4,7,11,20,20,7,12
N20001308,NI data zone,29,41,21,43,43,40,39,24,26
N20001309,NI data zone,17,25,26,69,41,30,29,27,21
N20001310,NI data zone,16,27,14,16,19,45,40,13,29
N20001313,NI data zone,13,50,12,11,17,43,36,12,19
N20001314,NI data zone,22,58,11,18,12,54,46,22,26
N20001317,NI data zone,20,50,10,14,10,34,48,9,23
N20001320,NI data zone,31,43,5,9,10,34,35,15,17
N20001323,NI data zone,18,47,6,4,13,23,23,10,15
N20001325,NI data zone,24,70,10,17,23,56,49,13,34
N20001326,NI data zone,25,53,17,28,17,50,34,14,22
N20001327,NI data zone,18,15,14,30,28,7,13,15,15
N20001328,NI data zone,38,66,14,20,11,59,34,12,12
N20001329,NI data zone,32,29,9,17,7,20,8,10,7
N20001331,NI data zone,31,30,26,40,15,11,18,19,12
N20001332,NI data zone,1,30,5,17,4,80,18,1,6
N20001335,NI data zone,13,36,20,24,10,9,8,7,9
