dz_2021_code,type,catholic,presbyterian_church_in_ireland,church_of_ireland,methodist_church_in_ireland,other_christian_including_christian_related,other_religions,no_religion,religion_not_stated
N20000914,NI data zone,47,76,26,16,46,8,112,11
N20000915,NI data zone,26,62,19,15,30,7,112,7
N20000916,NI data zone,63,66,34,7,34,26,164,8
N20000917,NI data zone,58,49,43,19,35,12,213,6
N20000918,NI data zone,41,74,59,5,43,11,82,16
N20000919,NI data zone,24,105,59,23,35,0,155,21
N20000920,NI data zone,41,70,31,11,52,5,106,7
N20000921,NI data zone,19,63,58,26,34,4,100,4
N20000922,NI data zone,31,111,55,14,58,13,119,20
N20000923,NI data zone,25,88,45,20,50,7,133,6
N20000924,NI data zone,73,89,44,4,46,38,166,27
N20000925,NI data zone,37,29,25,11,26,18,86,7
N20000926,NI data zone,74,57,36,11,40,11,87,4
N20000927,NI data zone,50,123,84,19,67,14,222,7
N20000928,NI data zone,42,45,39,12,26,10,116,13
N20000929,NI data zone,33,49,44,17,27,5,144,0
N20000930,NI data zone,21,62,36,3,20,1,90,4
N20000931,NI data zone,63,72,63,14,54,36,194,12
N20000932,NI data zone,48,58,29,7,45,16,142,7
N20000933,NI data zone,60,43,40,6,48,17,179,5
N20000934,NI data zone,117,66,50,11,34,31,165,9
N20000935,NI data zone,27,119,85,33,70,2,106,5
N20000936,NI data zone,51,141,76,27,41,28,141,14
N20000937,NI data zone,70,79,60,14,47,14,177,10
N20000938,NI data zone,41,46,31,10,41,25,111,1
N20000939,NI data zone,85,52,46,1,24,6,127,7
N20000940,NI data zone,47,32,29,3,45,21,144,3
N20000941,NI data zone,90,102,94,23,68,13,228,11
N20000942,NI data zone,132,43,37,9,45,30,126,7
N20000943,NI data zone,57,43,16,13,38,27,169,2
N20000944,NI data zone,133,25,18,1,9,26,152,2
N20000945,NI data zone,49,80,71,20,27,4,133,1
N20000946,NI data zone,27,63,57,16,38,4,116,2
N20000947,NI data zone,21,79,122,16,34,4,98,2
N20000948,NI data zone,20,97,66,26,21,2,128,21
N20000949,NI data zone,26,178,150,24,63,1,131,6
N20000950,NI data zone,68,112,41,19,59,12,165,14
N20000951,NI data zone,14,75,46,22,37,1,75,18
N20000952,NI data zone,48,111,77,25,39,4,131,4
N20000953,NI data zone,49,180,103,22,56,2,153,7
N20000954,NI data zone,23,99,71,15,35,4,81,8
N20000955,NI data zone,38,119,59,28,38,5,105,2
N20000956,NI data zone,64,189,165,52,108,15,216,20
N20000957,NI data zone,43,109,72,31,50,7,122,11
N20000958,NI data zone,42,155,105,44,75,7,228,10
N20000959,NI data zone,37,131,92,20,55,1,158,4
N20000960,NI data zone,43,170,89,44,39,10,141,1
N20000961,NI data zone,42,161,54,4,68,2,119,4
N20000962,NI data zone,29,182,126,34,77,13,184,13
N20000963,NI data zone,51,76,54,7,35,10,94,5
N20000964,NI data zone,12,98,78,17,51,5,121,7
N20000965,NI data zone,61,156,69,19,44,9,168,5
N20000966,NI data zone,42,84,34,4,55,9,185,9
N20000967,NI data zone,63,119,52,11,28,4,152,64
N20000968,NI data zone,52,94,74,19,54,12,206,21
N20000969,NI data zone,52,147,107,25,42,14,201,7
N20000970,NI data zone,59,96,51,19,57,9,218,10
N20000971,NI data zone,63,164,86,34,43,12,129,5
N20000972,NI data zone,52,24,13,2,19,3,87,2
N20000973,NI data zone,51,41,41,6,33,8,146,3
N20000974,NI data zone,53,119,53,22,34,3,145,7
N20000975,NI data zone,108,151,62,25,48,10,189,5
N20000976,NI data zone,97,96,47,16,25,16,195,5
N20000977,NI data zone,44,133,54,13,26,11,140,5
N20000978,NI data zone,70,68,59,10,29,2,127,7
N20000979,NI data zone,65,113,79,14,44,8,204,8
N20000980,NI data zone,30,183,73,19,57,1,155,5
N20000981,NI data zone,52,127,80,26,38,6,146,1
N20000982,NI data zone,85,159,96,28,56,8,185,4
N20000983,NI data zone,94,126,91,41,56,5,174,9
N20000984,NI data zone,114,112,64,24,46,4,185,8
N20000985,NI data zone,55,71,29,6,26,7,82,6
N20000986,NI data zone,26,112,46,19,45,0,80,0
N20000987,NI data zone,22,108,72,53,64,11,155,7
N20000988,NI data zone,76,161,103,45,98,5,190,22
N20000989,NI data zone,8,152,89,16,59,4,104,6
N20000990,NI data zone,18,71,57,70,55,10,96,2
N20000991,NI data zone,22,76,52,20,66,7,110,5
N20000992,NI data zone,41,107,41,31,52,6,116,4
N20000993,NI data zone,29,118,96,42,64,13,179,4
N20000994,NI data zone,13,136,88,92,80,16,142,3
N20000995,NI data zone,150,168,86,60,67,16,227,8
N20000996,NI data zone,10,152,65,18,36,7,129,13
N20000997,NI data zone,101,147,106,18,76,6,199,8
N20000998,NI data zone,34,91,43,25,33,7,135,2
N20000999,NI data zone,9,108,49,14,18,0,68,9
N20001000,NI data zone,18,108,55,19,46,4,103,6
N20001001,NI data zone,53,145,72,14,49,3,122,6
N20001002,NI data zone,15,79,44,12,31,3,75,2
N20001003,NI data zone,17,98,41,8,41,13,114,5
N20001004,NI data zone,7,154,84,9,56,8,129,14
N20001005,NI data zone,81,174,83,21,46,3,121,8
N20001006,NI data zone,42,151,96,26,93,3,230,15
N20001007,NI data zone,63,216,112,26,71,8,272,3
N20001008,NI data zone,43,139,94,42,74,3,149,14
N20001009,NI data zone,22,118,56,15,38,4,164,13
N20001010,NI data zone,91,91,64,16,26,3,140,7
N20001011,NI data zone,21,140,70,57,78,1,186,13
N20001012,NI data zone,6,98,36,13,27,0,101,9
N20001013,NI data zone,19,143,98,50,68,6,160,4
N20001014,NI data zone,18,146,66,44,52,5,157,14
N20001015,NI data zone,51,199,78,42,69,13,150,10
N20001016,NI data zone,58,205,61,44,92,25,169,3
N20001017,NI data zone,41,63,42,22,34,6,103,9
N20001018,NI data zone,10,56,27,26,36,7,85,3
N20001019,NI data zone,76,89,71,18,35,2,211,8
N20001020,NI data zone,53,169,80,41,61,7,221,4
N20001021,NI data zone,104,49,27,13,25,17,214,6
N20001022,NI data zone,28,123,77,21,51,15,136,4
N20001023,NI data zone,63,101,45,34,27,5,170,4
N20001024,NI data zone,249,28,10,3,33,11,236,9
N20001025,NI data zone,26,70,42,25,9,5,88,2
N20001026,NI data zone,69,69,35,32,33,20,150,4
N20001027,NI data zone,116,43,38,11,26,10,109,11
N20001028,NI data zone,63,93,67,32,74,3,202,3
N20001029,NI data zone,73,39,20,8,38,10,146,6
N20001030,NI data zone,122,30,43,21,12,1,118,1
N20001031,NI data zone,25,85,47,11,43,10,100,7
N20001032,NI data zone,65,26,24,22,27,7,145,3
N20001033,NI data zone,33,114,81,44,64,17,175,15
N20001034,NI data zone,29,171,79,34,65,10,163,9
N20001035,NI data zone,297,51,30,4,21,4,159,3
N20001036,NI data zone,82,65,48,21,27,5,153,4
N20001037,NI data zone,155,46,58,13,38,7,146,3
N20001038,NI data zone,71,122,82,35,64,12,149,10
N20001039,NI data zone,43,140,84,50,47,6,179,11
N20001040,NI data zone,27,210,79,43,48,12,187,10
N20001041,NI data zone,48,145,98,30,67,3,159,12
N20001042,NI data zone,239,47,46,2,17,0,95,28
N20001043,NI data zone,14,56,34,43,38,11,66,5
N20001044,NI data zone,31,108,58,24,45,8,127,10
N20001045,NI data zone,33,106,42,27,41,17,113,4
N20001046,NI data zone,71,194,111,62,58,30,239,16
N20001047,NI data zone,31,161,89,47,64,1,156,5
N20001048,NI data zone,18,61,65,41,30,4,77,8
N20001049,NI data zone,53,90,34,36,31,3,105,9
N20001050,NI data zone,71,121,79,60,72,32,145,5
N20001051,NI data zone,37,90,51,79,50,7,120,5
N20001052,NI data zone,76,100,48,33,45,0,123,4
N20001053,NI data zone,155,145,116,28,39,18,224,22
N20001054,NI data zone,38,73,55,48,56,9,192,12
N20001055,NI data zone,17,96,59,12,32,1,80,8
N20001056,NI data zone,57,130,99,61,44,6,208,8
N20001057,NI data zone,162,27,15,11,10,4,101,3
N20001058,NI data zone,16,172,84,33,83,7,143,16
N20001059,NI data zone,136,46,48,18,20,29,154,2
N20001060,NI data zone,54,77,63,35,33,19,154,2
N20001061,NI data zone,251,20,13,3,22,56,150,64
N20001062,NI data zone,178,10,7,1,3,10,80,0
N20001063,NI data zone,264,49,46,12,38,4,213,8
N20001064,NI data zone,127,23,16,4,11,28,119,1
N20001065,NI data zone,52,133,90,34,53,9,167,8
N20001066,NI data zone,228,33,33,7,25,59,234,5
N20001067,NI data zone,41,66,79,29,53,0,92,3
N20001068,NI data zone,219,55,43,21,15,0,107,3
N20001069,NI data zone,248,27,17,16,9,14,125,7
N20001070,NI data zone,337,25,29,5,14,25,218,15
N20001071,NI data zone,232,37,13,8,17,2,81,5
N20001072,NI data zone,310,33,25,6,10,8,133,8
N20001073,NI data zone,379,17,16,8,13,4,110,0
N20001074,NI data zone,159,62,43,19,28,7,125,1
N20001075,NI data zone,291,42,26,2,12,6,82,4
N20001076,NI data zone,389,35,20,10,14,3,137,5
N20001077,NI data zone,276,77,54,22,33,1,152,16
N20001078,NI data zone,120,43,23,10,17,7,62,4
N20001079,NI data zone,152,9,10,0,24,72,74,15
N20001080,NI data zone,321,24,23,6,59,259,476,300
N20001081,NI data zone,184,10,19,0,18,45,91,6
N20001082,NI data zone,342,7,6,0,2,5,29,16
N20001083,NI data zone,372,2,3,0,3,13,44,12
N20001084,NI data zone,101,81,107,41,30,21,286,107
N20001085,NI data zone,96,7,5,1,28,270,143,4
N20001086,NI data zone,294,7,5,2,11,14,55,10
N20001087,NI data zone,141,41,29,17,47,72,396,157
N20001088,NI data zone,76,26,29,10,24,152,142,15
N20001089,NI data zone,8,43,53,38,16,2,58,6
N20001090,NI data zone,104,52,42,16,23,73,240,75
N20001091,NI data zone,29,48,71,12,33,36,147,4
N20001092,NI data zone,22,136,87,72,42,24,84,9
