dz_2021_code,type,one_person_household_aged_66_and_over,one_person_household_other,single_family_household_couple_family_household_no_children,single_family_household_couple_family_household_dependent_children,single_family_household_couple_family_household_all_children_non_dependent,single_family_household_lone_parent_family_with_dependent_children,single_family_household_lone_parent_family_all_children_non_dependent,single_family_household_other_family_composition_including_all_aged_66_and_over,other_household_types
N20000545,NI data zone,15,19,24,40,25,9,8,30,4
N20000546,NI data zone,24,28,22,18,5,15,9,12,6
N20000547,NI data zone,34,32,28,48,10,24,12,33,5
N20000548,NI data zone,35,33,29,26,18,21,12,23,13
N20000549,NI data zone,28,25,42,55,24,11,8,58,9
N20000550,NI data zone,3,25,31,72,9,13,7,8,3
N20000551,NI data zone,49,25,39,47,34,4,9,45,6
N20000552,NI data zone,30,36,49,73,19,7,7,18,10
N20000553,NI data zone,22,51,56,77,21,11,11,21,12
N20000554,NI data zone,12,33,26,57,13,13,9,16,4
N20000555,NI data zone,28,33,32,44,17,19,15,28,2
N20000556,NI data zone,16,34,23,23,13,12,14,7,6
N20000557,NI data zone,13,8,40,38,27,4,4,27,3
N20000558,NI data zone,19,48,43,82,22,24,3,19,7
N20000559,NI data zone,11,19,25,49,20,6,5,27,5
N20000560,NI data zone,13,30,21,31,14,5,4,11,5
N20000561,NI data zone,28,39,46,95,28,12,12,35,1
N20000562,NI data zone,8,10,27,43,33,1,3,20,3
N20000563,NI data zone,24,9,41,66,34,8,15,45,9
N20000564,NI data zone,10,54,39,57,14,25,8,10,4
N20000565,NI data zone,30,42,40,51,14,14,14,22,8
N20000566,NI data zone,23,44,18,45,10,27,16,11,4
N20000567,NI data zone,32,48,44,65,20,24,12,23,8
N20000568,NI data zone,10,38,54,72,7,10,3,13,3
N20000569,NI data zone,37,29,37,59,37,10,13,30,10
N20000570,NI data zone,58,58,16,15,13,31,15,11,8
N20000571,NI data zone,29,45,61,51,19,21,21,12,4
N20000572,NI data zone,10,42,75,90,16,17,5,17,5
N20000573,NI data zone,31,64,47,85,17,28,6,20,8
N20000574,NI data zone,41,81,48,42,24,39,14,31,11
N20000575,NI data zone,19,56,48,61,26,13,9,13,4
N20000576,NI data zone,9,21,43,81,20,19,6,7,2
N20000577,NI data zone,13,16,40,61,13,12,5,7,6
N20000578,NI data zone,36,45,43,50,24,8,9,38,7
N20000579,NI data zone,17,8,31,67,39,5,8,26,7
N20000580,NI data zone,31,7,33,73,52,0,15,37,16
N20000581,NI data zone,2,35,35,53,9,15,7,4,6
N20000582,NI data zone,17,15,30,68,31,7,11,26,13
